Appearance,Personality,Ability,Occupation
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Cleverness: Manipulative, highly intellectual, quick-witted.
- Narcissism: Considers oneself smarter than others, excessive pride and self-esteem.
- Motiveless malignity: Executes evil deeds perfectly without apparent reason.
- Tragedian in real life - William Hazlitt: Practicing tragedy in reality with originality.
- Lack of morality: Indifferent to moral good and evil, sees everything crookedly, views all humans equally.
- Speech patterns: Hesitant speech, starts and stops, echoes the end of others' sentences, skillfully combines similar vocabulary to induce outbursts of accumulated emotions.
- Dual nature: Ruthless, selfish, yet empathetic, popular among friends, instills trust in others.
- Insights: Penetrates thoughts, feelings, desires emerging from human inner self, exploits doubts, hatred, and solidifies the urge to kill.
- Machinations
- Sexism
- Racism
- Cynicism",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Extravagance: Excessive spending and wastefulness.
- A difficult temper: Quick to anger, prone to outbursts.
- Ignorance: Lacks awareness of the limits of their power, believes themselves invincible, disregards advice, becomes enraged at rightful criticism.
- Irresponsible: Acts without regard for consequences or duties.
- Self-indulgent: Overly lenient towards oneself, indulges in personal desires.
- Commits wrongdoing without dirtying their own hands.",,King
"Skin color: Black skin
Race (or ethnicity): Moor
Facial features:
Hair: Woolly 
Impression:
Distinctive feature:","- Racism
- Mistreatment: Rape, murder, feels no remorse for those in mental distress, even finding joy in it. Delighted by others' misfortunes.
- Treacherous
- Maternal love: Overprotective of her son till the end. (Obsessive towards her son due to past miscarriage)
- Criminal: Serial killings, mutilation of corpses, child abduction, arson",,Slave
"Skin color: Green
Race (or ethnicity): 
Facial features:Wrinkled skin / Yellow eyes / Black lips
Hair: Black hair 
Impression:
Distinctive feature: Nails are embedded / Evidence of stitching on the forehead.","· (Life-related) Anger, frustration: Constantly blames the Creator (Doctor)
· Humanity: Compassion. Saves a drowning girl. Pursues beauty and nature. Strives to learn acts of kindness.
· Vegetarian
·Criminal: Serial killings, arson, stalking","· Power and speed surpassing that of humans
· Immunity to aging and disease
· Faster recovery than humans",Wanderer
"- Skin color:
- Race (or ethnicity): Chinese
- Facial features: Sharp eyes
- Hair:
- Impression:
- Distinctive feature:","- Charisma: Possesses decisiveness and leadership.
- Cleverness: Demonstrates high intelligence across various fields.
- Cunning tyrant: Power-hungry, exhibiting deceitful behavior.",,General → King
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Corrupted officials
- Ruthlessness: Commits countless dastardly deeds to gain power.
- Cleverness: Writes well.
- Cunning
- Skilled in flattery for personal gain.
- Lack of morality: Engages in crimes (bribery) for personal advancement.
- Criminal: Murderer.",,Mandarin
"- Skin color:
- Race (or ethnicity): 
- Facial features: Blue eyes
- Hair: Curly hair (presumed to be a wig)
- Impression: Pirate captain hat
- Distinctive feature: Carries a hook on hand. Handsome.","· Piracy
· Immaturity
· Cleverness·Cunning: deceives enemies skillfully
",Proficient in swordsmanship,Pirate
"- Skin color:
- Race (or ethnicity): Lithuanian noble descent
- Facial features:
- Hair:
- Impression:
- Distinctive feature:","- Cannibalism: Kills and cooks people they dislike, giving them a sense of nesting inside their mother's womb. It's an act of seclusion from the outside world, providing comfort and a sense of internal abundance that revives them.
- Cleverness: A genius serial killer, adept at various professions and fluent in multiple languages, earning the title of genius in various fields.
- Disorder: PTSD (Posttraumatic Stress Disorder) from past trauma.
- Psychopath: Lacks empathy and feels no remorse after committing murder.
- Emphasizes manners.
- Cunning.
- Criminal: Commits serial murders.
- Listens to Bach's Symphony No. 7 after committing murder.",The Master of Poisoncraft,"Main: Psychiatrist  
Others: Gourmet, Artist, Scholar, Surgeon, Forensic Scientist"
"- Skin color: Pale
- Race (or ethnicity):
- Facial features: Ice-blue eyes.
- Hair: Black hair
- Impression:
- Distinctive feature: Slender build. Approximately 6 feet tall.","· Lonely teenager(who was constantly overshadowed by his older brother and ignored by his father.)
· Kindness
· Extroverted
· Conceals a passionate heart.
· Betrays siblings and kills father maliciously.",· Ability to manipulate fire and flames.,
"· Skin color:
· Race (or ethnicity):
· Facial features:
· Hair:
· Impression:
· Distinctive feature: Large build.","· Dual personality
· Dark backstory: The serum (created to suppress his impulses) causes his evil side to manifest.
· Malevolence: Dr. Jekyll (his alter ego) inherently tainted by evil.
· Instinctual
· Antisocial
· Dislikes children",,Doctor
